"t","Species_1","Species_2","Species_3"
0,0.167621747963925,0.101797117336036,0.110027181405041
1,0.120071195338991,0.231448413976891,0.153014473209956
2,0.507411643094709,0.110603062520668,0.0506321670956556
3,0.490564717315873,0.0753766481694651,0.0174529883594173
4,0.467128974111581,0.334000997691513,0.0522172815591812
5,0.61242241203281,0.235484089156498,0.165578593188261
6,0.866780812195415,0.262466851581872,0.00460676990509363
7,1.02372650990552,0.566073094645156,0.129936572913723
8,1.09928870341587,0.458058256743759,0.215549354129358
9,1.21675120081129,0.391880895118427,0.0464176966036725
10,1.53825688531521,0.582916073268468,0.0793185228203132
11,1.51845664727535,0.696475647311803,0.0641678932167457
12,1.55206877494936,0.765538904921789,0.0218233146594445
13,1.75749122131215,0.660052084517546,0.0291710027487107
14,1.928046309504,0.693135339095818,0.158236760409201
15,2.00452980214948,0.91773395852245,0.029421042043272
16,1.96471861500656,0.755439295996046,0.0359950469817889
17,1.8717905839739,1.04198981807753,0.0180224515298147
18,1.98710586819164,1.16183423298919,0.136793019352293
19,1.96712076570525,1.07421196608218,0.231739059824791
20,2.04847324723945,1.079774029725,0.237984722443015
21,1.991385959375,1.13135929195247,0.329447774876707
22,2.02028812958317,1.14624066723302,0.356955416518279
23,1.99014524629914,1.29754181415673,0.132627890459135
24,1.83963720201408,1.32048043554416,0.117402612737055
25,1.87401201929773,1.34738405322446,0.53700777710547
26,1.7894518548109,1.53984848364832,0.331405567444342
27,1.83301489340035,1.31263082837335,0.566003995965237
28,1.77467764181402,1.39637961168113,0.241665146284537
29,1.88494195566707,1.39653827578778,0.3519239968657
30,1.7702417421232,1.44887653997436,0.53931828857896
31,1.99098013066784,1.33471389487359,0.413601651145513
32,1.84786508996556,1.36110306576685,0.413247696727921
33,1.89388171194365,1.42621236349772,0.450696661528547
34,1.58351829790154,1.30019086563574,0.417479516334911
35,1.9756032868714,1.28565734586386,0.41746975757767
36,1.96558519150516,1.39908455108153,0.669396912554706
37,1.67805814277659,1.27080283065319,0.55214375153525
38,1.68670404772669,1.37324723255227,0.899598783490104
39,1.62281726876444,1.25740949651146,0.644779865339563
40,1.66981503693211,1.10039527695891,0.654465689471269
41,1.60947126643649,1.30906530679972,0.705733546752333
42,1.72715361053562,1.20284376442054,0.913066576698553
43,1.62058909163514,1.16122106774578,0.743029833517955
44,1.60072978649618,1.21429210302511,0.885599036406209
45,1.48376957048212,1.26234408277233,0.931818121742324
46,1.65114182644893,1.16761998573738,0.689547052045335
47,1.53629079231758,1.2174484992498,0.923918273124732
48,1.53793597072347,1.0253255623254,0.962466154042591
49,1.42158388670571,1.18413277673357,0.915250837542482
50,1.5721554643815,1.10566636071228,1.13537208186494
51,1.61961771810112,1.02889235440595,1.09514187660337
52,1.5208131109474,0.975079265609743,0.973786345336386
53,1.57260790490261,1.14373196232786,1.0719182304615
54,1.56366341132697,0.890638395828381,1.09075519998584
55,1.50249338677989,0.777353175591501,1.08190129538673
56,1.60977297978055,0.677562453834569,1.18883224333508
57,1.46005157299636,1.0137981930798,1.22922131108076
58,1.59134422804792,0.978114476427993,1.14541488080468
59,1.48389271295202,0.850484997019283,1.2186880761638
60,1.63849821653921,0.826677190379996,1.10735254196336
61,1.53832640842329,0.760006846516873,1.15787387615137
62,1.56067200653442,0.767018938645925,1.42040519063834
63,1.53186558708288,1.08844688737077,1.3477193887625
64,1.6305100334595,0.747654538110982,1.23334778566305
65,1.55695366583741,1.01771858129241,1.40239255237901
66,1.61298901844059,0.832741069367957,1.26290677984336
67,1.42239767489142,0.917885411455562,1.0711213803575
68,1.63566358573785,0.707397036003525,1.2845893123135
69,1.70189380885288,0.711952389610025,1.28527544212395
70,1.64755671644731,0.514262162910487,1.43240525937055
71,1.64110309233489,0.903409986980901,1.48209846097999
72,1.44736274037477,0.599656432707213,1.48621078727547
73,1.54188299147245,0.673069439837128,1.59848842674462
74,1.58994531433517,0.620157335836975,1.36967541557415
75,1.78031818128923,0.625477411226136,1.33531067611853
76,1.55561327730864,0.488287317342701,1.39364354596586
77,1.45091198977608,0.67570250470172,1.35438165859263
78,1.47078831088218,0.702538918808342,1.54514486243021
79,1.49747610772257,0.554590279298453,1.52094335780508
80,1.39582106920394,0.52580171328707,1.44323003746716
81,1.48823440851465,0.611653500173041,1.51042592079398
82,1.4568211857174,0.583591783270539,1.38705840798617
83,1.50137113123483,0.551446079072584,1.40290834856173
84,1.63905708504895,0.567475793539144,1.47534461692896
85,1.54504338484313,0.673659213481775,1.5344008276405
86,1.46325766104984,0.470515686681383,1.36708395927408
87,1.49726736732384,0.612122493363658,1.36809962129391
88,1.59680245567118,0.362666863334808,1.54846126115598
89,1.47212145389334,0.640994544628641,1.5770190155249
90,1.66442474109977,0.526474201575774,1.49736836166655
91,1.69199735865087,0.566178217706255,1.27535584994973
92,1.60704858321712,0.685787979967825,1.42507586499463
93,1.52685865932496,0.395991520955639,1.37409035449253
94,1.6194435720943,0.605750405939133,1.3768088333525
95,1.760613666419,0.411803012975588,1.60518111800469
96,1.62445651538008,0.222339280140607,1.5704526696018
97,1.58028427681989,0.480618066494698,1.42278555840745
98,1.551462665709,0.554511689313928,1.44743762684337
99,1.63439309992143,0.363228604407368,1.42036545986125
100,1.46854514958128,0.465060731395182,1.54690297501498
